"YEAR" "RCONG" "DCONG" "RPRES" "DPRES" "G" "PRCONT" "PDCONT" "TOTPRES" "TOTCONG" "RREP" "DREP" "TR" "INFLAT" "PREVINFL" "PREVGNP" "GNP" "TOTPOP18" "ELIGIBLE" "MRCONG" "MDCONG" "MRPRES" "MDPRES" "MTOTCONG" "MTOTPRES" "MTR" "VRCONG" "VDCONG" "VRPRES" "VDPRES" "VTOTCONG" "VTOTPRES" "VTR" "LMRCONG" "LMDCONG" "LRREP" "LDREP" "REPRATIO" "DRATIO" "RRATIO" "REPSHIFT" "MRATIO1" "MRATIO2" "ON" "ONR1" "ONR2" "OND1" "OND2" "ON1" "ON2" "OFF" "OFF1" "OFF2" "PRESDIF" "RPRESDIF" "LRPDIF" "LPRESDIF" "LMTCONG" "DIFOYTC" "SHIFT" "FDR" "CPOINT" "CPCGNP" "CGNP" "LGNP" "LINFLAT"
"33" 1960 28625000 34222000 34108157 34226731 1 0 1 68838000 63110000 153 283 0 88.7 87.3 475.9 487.7 116146000 108856000 0.26296207834203 0.31437862864702 0.313332815830087 0.314422089733226 0.579756742852943 0.632376717865804 0 0.453573126287435 0.542259546823007 0.540455664712407 0.542334511170971 1 1.09076216130566 0 0.183891948794105 0.237851758557813 200 233 -0.298165137614679 0.64908256880734 0.350917431192661 -0.222477064220183 0 0.579756742852943 1 0 1 0 1 0 1 0 0 0 -1.00065582341637e-11 -1.00065582341637e-11 0 0 0.422805797319398 0 0 1 1 0.108400088189903 11.8 447.3 86.6
"34" 1962 24021000 26467000 0 0 0 0 1 0 50634000 174 263 0 90.6 89.6 497.2 529.8 119412000 111063000 0.216282650387618 0.238306186578789 0 0 0.455903406174874 0 0 0.474404550302168 0.522712011691749 0 0 1 0 0 0.26296207834203 0.31437862864702 153 283 -0.203661327231121 0.60183066361556 0.398169336384439 0.0938215102974828 0 0.455903406174874 0 0 0 0 0 0 0 1 0 1 0 0 -1.00065582341637e-11 -1.00065582341637e-11 0.579756742852943 -0.271665741033227 0 1 1 0.293527097233102 32.6 487.7 88.7
"35" 1964 28288000 38549000 27178188 43129566 1 0 1 70645000 67154000 177 258 0 92.9 92.9 551 581.1 122206000 113844000 0.248480376655775 0.338612487263273 0.238731843575419 0.378847949826078 0.589877376058466 0.62054214539194 0 0.421240730261786 0.574038776543467 0.404714358042708 0.642248652351312 1 1.05198498972511 0 0.216282650387618 0.238306186578789 174 263 -0.186206896551724 0.593103448275862 0.406896551724138 0.0183908045977011 0 0.589877376058466 1 0 1 0 1 0 1 0 0 0 -1.23077286682354e-09 -1.23077286682354e-09 0 0 0.455903406174874 0 0 1 1 0.264396893995292 30.1 529.8 90.6
"36" 1966 25635000 27044000 0 0 0 0 1 0 53143000 140 295 0 97.2 94.5 617.8 658.1 126665000 116523000 0.219999485080199 0.232091518412674 0 0 0.456073049955803 0 0 0.482377735543722 0.508891105131438 0 0 1 0 0 0.248480376655775 0.338612487263273 177 258 -0.35632183908046 0.67816091954023 0.32183908045977 -0.170114942528736 0 0.456073049955803 0 0 0 0 0 0 0 1 0 1 0 0 -1.23077286682354e-09 -1.23077286682354e-09 0.589877376058466 -0.29338354045614 0 1 1 0.345854466500177 40.3000000000001 581.1 92.9
"37" 1968 32142000 33244000 31785480 31275166 1 1 0 73212000 66285000 187 247 0 104.2 100 675.2 706.6 130815000 120098000 0.267631434328632 0.276807274059518 0.264662858665423 0.26041371213509 0.55192426185282 0.60960215823744 0 0.484906087350079 0.501531266500717 0.47952749490835 0.471828709361092 1 1.10450328128536 0 0.219999485080199 0.232091518412674 140 295 -0.138248847926267 0.569124423963134 0.430875576036866 0.21889400921659 0 0.55192426185282 1 0 1 0 1 0 1 0 0 0 3.5380660213605e-11 3.5380660213605e-11 0 0 0.456073049955803 0 0 1 1 0.261453146596945 31.4 658.1 97.2
"38" 1970 24415000 28923000 0 0 0 1 0 0 54173000 192 243 0 116.3 109.8 725.6 722.5 135290000 124127000 0.196693708862697 0.233011351277321 0 0 0.436432041376977 0 0 0.450685765971979 0.533900651616119 0 0 1 0 0 0.267631434328632 0.276807274059518 187 247 -0.117241379310345 0.558620689655172 0.441379310344828 0.0206896551724138 0 0.436432041376977 0 0 0 0 0 0 0 1 0 1 0 0 3.5380660213605e-11 3.5380660213605e-11 0.55192426185282 -0.264628188414985 0 1 1 -0.02497442135877 -3.10000000000002 706.6 104.2
"39" 1972 33104000 36828000 47170000 29170000 1 1 0 77719000 71270000 180 254 0 125.3 121.3 745.4 790.4 140920000 140920000 0.234913426057338 0.261339767243826 0.334728924212319 0.206996877661084 0.505747942094806 0.55151149588419 0 0.464487161498527 0.516739160937281 0.661849305458117 0.409288620738038 1 1.09048688087554 0 0.196693708862697 0.233011351277321 192 243 -0.170506912442396 0.585253456221198 0.414746543778802 -0.0529953917050691 0 0.505747942094806 1 0 1 0 1 0 1 0 0 0 9.06415317564822e-10 9.06415317564822e-10 0 0 0.436432041376977 0 0 1 1 0.319330116378087 45 722.5 116.3
"40" 1974 21281000 30159000 0 0 0 1 0 0 52391000 192 239 0 147.7 133.1 839.2 829 146550000 146550000 0.145213237802798 0.205793244626407 0 0 0.357495735243944 0 0 0.406195720639041 0.575652306693898 0 0 1 0 0 0.234913426057338 0.261339767243826 180 254 -0.109048723897912 0.554524361948956 0.445475638051044 0.062645011600928 0 0.357495735243944 0 0 0 0 0 0 0 1 0 1 0 0 9.06415317564822e-10 9.06415317564822e-10 0.505747942094806 -0.414696434769211 0 1 1 -0.0696008188331629 -10.2 790.4 125.3
"41" 1976 31242000 41741000 39146000 40829000 1 0 1 81556000 74262000 144 291 0 170.5 161.2 832.2 872.6 152180000 152180000 0.205296359574188 0.274287028518859 0.257234853463004 0.268294125377842 0.487987909055066 0.535917991851754 0 0.42069968489941 0.562077509358757 0.52713366189976 0.549796665858716 1 1.09821981632598 0 0.145213237802798 0.205793244626407 192 239 -0.337931034482759 0.66896551724138 0.331034482758621 -0.229885057471264 0 0.487987909055066 1 0 1 0 1 0 1 0 0 0 -7.267230854802e-11 -7.267230854802e-11 0 0 0.357495735243944 0 0 1 1 0.265475095281903 40.4 829 147.7
"42" 1978 24849000 29688000 0 0 0 0 1 0 55332000 143 292 0 195.4 181.5 915.1 959.1 157810000 157810000 0.157461504340663 0.188124960395412 0 0 0.350624168303656 0 0 0.449089134677944 0.536543049230102 0 0 1 0 0 0.205296359574188 0.274287028518859 144 291 -0.342528735632184 0.671264367816092 0.328735632183908 -0.00459770114942529 0 0.350624168303656 0 0 0 0 0 0 0 1 0 1 0 0 -7.267230854802e-11 -7.267230854802e-11 0.487987909055066 -0.39176917385925 0 1 1 0.278816298079969 44 872.6 170.5
