"CCODE" "COUNTRY" "YEAR" "RENT" "NETOIL" "INCOME" "INCOMENO" "REGIONPO" "REGIONFH" "MUSLIM" "DEMSCORE" "POLITY" "POPULATI" "ELF85D" "ELF85G" "CATHOLIC" "PROTESTA" "ECONFREE" "GDPPC" "GDPPP" "TRADE" "GEO"
"64" 211 "Belgium" 1998 0 0 9.594105 14678 10.70769 10.08889 0.034 11 12 16.13819 0.589 0.589 0.824 0.012 2.1 20885.13 25530.79 146.5287 "Europe"
"65" 211 "Belgium" 1999 0 NA 9.617004 15018 10.72308 10.13333 0.034 11 12 16.14044 0.589 0.589 0.824 0.012 2.11 21503.25 26304.86 147.0993 "Europe"
"66" 434 "Benin" 1995 0 0 6.899723 992 NA NA 0.187 10 9.6 15.5157 0.525 0.525 0.204 0.032 NA 280.4077 873.0338 53.20182 "Africa"
"67" 434 "Benin" 1996 0 0 6.925595 1018 6.016218 4.847826 0.187 10 9.6 15.54341 0.525 0.525 0.204 0.032 3.53 286.8127 891.8957 45.31381 "Africa"
"68" 434 "Benin" 1997 0 0 6.953684 1047 6.015384 4.869565 0.187 10 9.6 15.57105 0.525 0.525 0.204 0.032 3.44 295.5577 912.5511 44.95437 "Africa"
"69" 434 "Benin" 1998 0 0 6.97073 1065 5.79 4.782609 0.187 10 9.6 15.59861 0.525 0.525 0.204 0.032 3.35 300.215 919.3879 44.58957 "Africa"
"70" 434 "Benin" 1999 0 NA 6.991177 1087 5.740541 5.130435 0.187 9 9.6 15.6261 0.525 0.525 0.204 0.032 3.34 305.3076 935.7405 44.96939 "Africa"
"71" 760 "Bhutan" 1995 0 NA 6.926577 1019 NA NA 0.053 0 1.2 13.45187 0.563 0.563 0 0 NA NA NA NA "Asia"
"72" 760 "Bhutan" 1996 0 NA 6.949856 1043 9.96 4.714286 0.053 0 1.2 13.48125 0.563 0.563 0 0 NA NA NA NA "Asia"
"73" 760 "Bhutan" 1997 0 NA 6.995766 1092 8.599998 5.142857 0.053 0 1.2 13.51061 0.563 0.563 0 0 NA NA NA NA "Asia"
"74" 760 "Bhutan" 1998 0 NA 7.035269 1136 8.500002 5.285714 0.053 1 1.2 13.53996 0.563 0.563 0 0 NA NA NA NA "Asia"
